Titre,Abstract,Auteurs
Residency Education Practices in Endoscopic Skull Base Surgery,"BackgroundThere has been increased interest in how residents train in the subspecialty of skull base surgery. Examining which training methods are popular and effective to optimize residency learning is necessary, especially with new training adjuncts available to the modern trainee. In this study, we survey North American Skull Base Society (NASBS) members to analyze endoscopic skull base surgery education methods.MethodsThe NASBS membership was surveyed regarding endoscopic skull base surgery teaching and feedback methods using a Likert scale via an anonymized REDCap form over 4 months.ResultsWith a response rate of 10.1%, we found that informal teaching methods and verbal qualitative feedback were rated significantly more effective than other teaching and feedback methods (p< 0.01). When comparing the opinions of otolaryngologists and neurosurgeons, otolaryngologists were less likely to believe feedback is most effective with a shared grading scale (p< 0.01). Physicians with more than 10 years of experience posttraining felt model- and rubric-based teaching were used more frequently (p< 0.01). Respondents indicated that standardization and use of simulation, artificial intelligence, and virtual reality should be at the forefront of educational practices used in the field in the coming 5 to 10 years.ConclusionDespite the current emphasis on informal training, respondents pointed to standardization and simulation as methods of endoscopic skull base surgery education that should be used more in the future. These results indicate an unmet need in skull base education. Future multi-institutional initiatives with NASBS membership participation are warranted.","Rose Dimitroyannis, 1, Sharanya Thodupunoori, 1, Sean P Polster, 2, Paramita Das, 2, Christopher R Roxbury, 3"
Lateral skull-base surgery--a review of recent advances in surgical approaches,"Objective:The expanding field of lateral skull-base surgery is reviewed. The rapid evolution of this subspecialty of otolaryngology--head and neck surgery has occurred subsequent to the primary postgraduate training of many practitioners of our specialty. Furthermore, it can be difficult for many resident physicians to acquire concise, up-to-date references pertaining to this area of subspecialization. This article is designed to provide a succinct, up-to-date review of the field of lateral skull-base surgery.Materials and methods:The current literature is reviewed.Results:Lateral skull-base surgery is a rapidly evolving discipline involving neurologists and neurosurgeons in the resection of complex lesions of the skull base that had previously been difficult or impossible to adequately access. Otolaryngologists,via the subspecialty of neurotology, have been leaders in developing and applying the different lateral skull-base approaches.Conclusions:This article categorizes the various lateral skull-base approaches, outlines the principles of the surgical exposures, and discusses the indications for their use.","M J Ruckenstein, 1, D Denys"
Use of Mixed Reality Visualization in Endoscopic Endonasal Skull Base Surgery,"Background:Neuronavigation systems assist with spatial orientation during endoscopic transnasal skull base surgery, but they require a correlation of 3-dimensional (3D) views with 2-dimensional (2D) radiology studies.Objective:To outline an initial experience with a novel technology platform that provides intraoperative navigation using 3D reconstructions of patient anatomy for endoscopic surgery.Methods:A retrospective study of endoscopic anterior skull base and complex paranasal procedures was performed. Data from preoperative computed tomography and magnetic resonance imaging scans were fused to create 3D digital models of patient anatomy. Using the technology developed by Surgical Theater (Mayfield Village, Ohio), these reconstructions were designed to highlight particular anatomic regions of interest. The models were studied to guide the surgical approach and anticipate critical structures.The reconstructions were linked with the navigational technology created by Brainlab (Munich, Germany) during endoscopic surgery. A dynamic image of the reconstruction was displayed alongside a matching endoscopic camera view. These 2 views could be overlaid to provide an immersive, mixed reality image of the patient's anatomy.Results:A total of 134 cases were performed. The pathologies included tumors of the anterior skull base or sinonasal cavity, inflammatory sinus disease, and cerebrospinal fluid leaks. Specific anatomic structures, such as the internal carotid arteries and optic nerves, were chosen for enhancement. Surgeons felt that the technology helped to guide the extent of bony dissection and to identify critical structures.Conclusion:We describe the first clinical series of complex skull base pathologies treated using a novel mixed reality platform.","Joshua Zeiger, 1, Anthony Costa, 1, Joshua Bederson, 1, Raj K Shrivastava, 1, Alfred M C Iloreta, 1"
Carotid Complications in Skull Base Surgery,"Carotid artery rupture is a worrisome complication that sometimes occurs during microsurgical or endoscopic skull base procedures. Many identifiable aspects are related to prevention, intraoperative management, and immediate postoperative endovascular treatment. This article deals with microsurgical and endoscopic cases in which the carotid artery or its branches have been damaged in the context of a resection of skull base lesions. Factors related to the anatomy of the skull base and the arteries and their variations are considered, along with intraoperative measures to control the bleeding. Finally, depending on the case, recommendations for immediate postoperative endovascular management are made.","Miguel A Arraez, 1, Cinta Arraez, 2, Angela Ros, 2, Antonio Selfa, 2, Bienvenido Ros, 2"
Skull base surgery: the first 50 years,Résumé non trouvé,Jatin P Shah
Revascularization of AlloDerm Used during Endoscopic Skull Base Surgery,"ObjectivesAlloDerm is an acellular dermal matrix often used for reconstruction throughout the body. AlloDerm has been shown to undergo revascularization when used to reconstruct soft tissue such as in abdominal wall reconstruction. In this study, the authors review the literature on revascularization of AlloDerm and demonstrate the histologic findings of AlloDerm after implantation during skull base reconstruction.Study DesignLiterature review and case reports.SettingTertiary Care InstitutionParticipantsPatients from a tertiary care institutionMain Outcome MeasuresHistologic slides are evaluated and compared with nonimplanted AlloDerm.MethodsThe authors review a case of explanted AlloDerm that had been used for skull base reconstruction after endoscopic skull base surgery.ResultsUpon reviewing the histologic slides of explanted AlloDerm to nonimplanted AlloDerm, we demonstrate revascularization of AlloDerm when used in skull base reconstruction. Representative slides will be included.ConclusionsAlloDerm undergoes revascularization when used for skull base reconstruction.","Zahrah M Taufique, 1, Nupur Bhatt, 1, David Zagzag, 2, Richard A Lebowitz, 1, Seth M Lieberman, 1"
The utility of augmented reality in lateral skull base surgery: A preliminary report,"Objective:To discuss the utility of augmented reality in lateral skull base surgery.Patients:Those undergoing lateral skull base surgery at our institution.Intervention(s):Cerebellopontine angle tumor resection using an augmented reality interface.Main outcome measure(s):Ease of use, utility of, and future directions of augmented reality in lateral skull base surgery.Results:Anecdotally we have found an augmented reality interface helpful in simulating cerebellopontine angle tumor resection as well as assisting in planning the incision and craniotomy.Conclusions:Augmented reality has the potential to be a useful adjunct in lateral skull base surgery, but more study is needed with large series.","Zachary G Schwam, 1, Vivian F Kaul, 2, Daniel D Bu, 2, Alfred-Marc Calo Iloreta, 2, Joshua B Bederson, 3, Enrique Perez, 2, Maura K Cosetti, 2, George B Wanna, 2"
Skull Base Surgery Training and Practice Patterns among Recent Otolaryngology Fellowship Graduates,"Objective:To collect data on skull base surgery training experiences and practice patterns of otolaryngologists that recently completed fellowship training.Design:A 24-item survey was disseminated to physicians who completed otolaryngology fellowships in rhinology, head and neck oncology, or neurotology between 2010 and 2014.Results:During a typical year, 50% of rhinologists performed more than 20 endoscopic anterior skull base cases, 83% performed fewer than 20 open cases, and were more confident performing advanced transplanum (p = 0.02) and transclival (p = 0.03) endoscopic approaches than head and neck surgeons. Head and neck surgeons performed fewer than 20 endoscopic and fewer than 20 open cases in 100% of respondents and were more confident with open approaches than rhinologists (p = 0.02). Neurotologists performed more than 20 lateral skull base cases in 45% of respondents during a typical year, fewer than 20 endoscopic ear cases in 95%, and were very comfortable performing lateral skull base approaches.Conclusion:Many recent otolaryngology fellowship graduates are integrating skull base surgery into their practices. Respondents reported high confidence levels performing a range of cranial base approaches. Exposure to endoscopic ear techniques is minimal in neurotology training, and rhinology training appears to offer increased exposure to skull base surgery compared with head and neck training.","Matthew M Dedmon, 1, Garrett D Locketz, 2, Kyle J Chambers, 1, Matthew R Naunheim, 1, Derrick T Lin, 1, Stacey T Gray, 1"
Update on skull base surgery,"The field of skull base surgery has changed significantly during the past decade. Various surgical approaches have been developed, which when used alone or in combination provide optimal exposure for the resection of a given lesion with minimal morbidity. This recent evolution in the field of skull base surgery has allowed the surgical management of larger lesions in previously inaccessible locations. Furthermore, techniques in the preoperative, intraoperative, and postoperative management of the intrapetrous internal carotid artery have circumvented many prior limitations of cranial base resections. The goals of this article are to provide an overview of the postlateral skull base approaches in use today, discuss the regions of the skull base that are accessible, and describe the state of the art in management of the intrapetrous internal carotid artery.","C Y Chang, 1, D K O'Rourke, S P Cass"
Salvage skull base surgery after proton beam therapy for recurrent sinonasal malignancies: A retrospective study,"Background:This study aimed to examine treatment outcomes and postoperative complications associated with salvage skull base surgery following radical proton beam therapy (PBT).Methods:Nine patients who underwent salvage skull base surgery following curative PBT as the initial treatment at our institution between September 2002 and May 2023 were retrospectively reviewed.Results:The cohort comprised four males and five females with a mean age of 48.1 years. The average proton dose administered during initial therapy was 68.5 Gy (relative biological effectiveness). Among the salvage surgeries, eight were anterior skull base surgeries, and one was an anterior middle skull base surgery. No local recurrences or perioperative deaths were observed. Postoperative complications occurred in three patients (33.3%), all experiencing surgical site infections, with one also having cerebrospinal fluid leakage.Conclusion:The study demonstrates that salvage skull base surgery after PBT effectively achieves local control and safety in patients with recurrent sinonasal malignancies.","Shinichi Okada, 1, Takashi Mukaigawa, 1, Seiya Goto, 1, Yohei Hiiragi, 1, Fuyuki Sato, 2, Shoichi Deguchi, 3, Hirofumi Ogawa, 4, Tsuyoshi Onoe, 4, Shigeyuki Murayama, 4, Yoshichika Yasunaga, 5, Nakamasa Hayashi, 3"
Quality-of-Life after Anterior Skull Base Surgery: A Systematic Review,"Background Improved treatment and survival of patients with skull base tumors has made the assessment of quality-of-life (QoL) in this population increasingly important. This article provides a comprehensive systematic review pertaining to QoL assessment in adults undergoing anterior skull base surgery. Methods We performed a literature search using the electronic databases of Ovid Medline and Embase. Additional articles were identified through a search using the phrase anterior skull base. Further articles were sought through hand-searching relevant journals and reference lists of identified articles. Results Our search strategy identified 29 articles for inclusion in our systematic review, with considerable variation between studies in population characteristics, methodological design and quality, follow-up length, and outcome assessment. The most commonly used QoL tools were the Karnofsky Performance Status and the Anterior Skull Base Questionnaire. QoL following anterior skull base surgery appears to improve beyond preoperative levels in the months after surgery. For patients undergoing endoscopic skull base surgery, the gain in QoL appears to be greater and may manifest earlier, with no clear long-term deleterious effect on sinonasal outcomes compared with open surgery. Conclusions QoL after anterior skull base surgery in adults appears to improve within several months of surgery, but earlier and to a larger extent if the endoscopic approach is used. Given the relative paucity and heterogeneity of anterior skull base tumors, large-scale prospective multicentre studies utilizing valid and reliable multidimensional QoL tools are required. This may result in improved patient care, by understanding patients' needs better and facilitating the provision of reliable outcome data for clinical trials.","Matthew A Kirkman, 1, Anouk Borg, 2, Alaa Al-Mousa, 2, Nikolaos Haliasos, 2, David Choi, 2"
Endoscopic skull base surgery and the evolution of approaches to anterior cranial base lesions,Résumé non trouvé,"Joao P Almeida, 1, Fred Gentili, 2"
